JOZI ARAÚJO;5310308;2311;AP=PTN;178851;JOZI ARAÚJO
JÚLIA MARINHO;5310699;2334;PA=PSC;67312;JÚLIA MARINHO
JÚLIO CESAR;5310694;23114;PI=PSD;74317;JÚLIO CESAR
JÚLIO DELGADO;5310574;23250;MG=PSB;73586;JÚLIO DELGADO
JULIO LOPES;5310411;23308;RJ=PP;74253;JULIO LOPES
JUNIOR MARRECA;5310432;2378;MA=PEN;178885;JUNIOR MARRECA
JUSCELINO FILHO;5310606;2379;MA=DEM;178886;JUSCELINO FILHO
JUTAHY JUNIOR;5310416;23206;BA=PSDB;74570;JUTAHY JUNIOR
KAIO MANIÇOBA;5310758;23151;PE=PMDB;178918;KAIO MANIÇOBA
KEIKO OTA;5310730;23356;SP=PSB;160659;KEIKO OTA
LAERCIO OLIVEIRA;5310362;23176;SE=SD;151208;LAERCIO OLIVEIRA
LAERTE BESSA;5310785;23412;DF=PR;141478;LAERTE BESSA
LAUDIVIO CARVALHO;5310484;23234;MG=SD;178894;LAUDIVIO CARVALHO
LÁZARO BOTELHO;5310290;2363;TO=PP;141480;LÁZARO BOTELHO
LEANDRE;5310676;23453;PR=PV;178832;LEANDRE
LELO COIMBRA;5310469;23277;ES=PMDB;141562;LELO COIMBRA
LEO DE BRITO;5310505;2357;AC=PT;178825;LEO DE BRITO
LEONARDO MONTEIRO;5310402;23253;MG=PT;74156;LEONARDO MONTEIRO
LEONARDO PICCIANI;5310339;23312;RJ=PMDB;74254;LEONARDO PICCIANI
LEONARDO QUINTÃO;5310466;23255;MG=PMDB;141482;LEONARDO QUINTÃO
LEÔNIDAS CRISTINO;5310786;2396;CE=PDT;74299;LEÔNIDAS CRISTINO
LEOPOLDO MEYER;5310499;23456;PR=PSB;160663;LEOPOLDO MEYER
LINCOLN PORTELA;5310687;23243;MG=PRB;74585;LINCOLN PORTELA
LINDOMAR GARÇON;5310734;2345;RO=PRB;141483;LINDOMAR GARÇON
LUCAS VERGILIO;5310727;23430;GO=SD;178879;LUCAS VERGILIO
LUCIANA SANTOS;5310532;23153;PE=PCdoB;160628;LUCIANA SANTOS
LUCIANO DUCCI;5310407;23457;PR=PSB;178931;LUCIANO DUCCI
LUCIO MOSQUINI;5310729;2346;RO=PMDB;178954;LUCIO MOSQUINI
LÚCIO VALE;5310567;2329;PA=PR;141484;LÚCIO VALE
LUCIO VIEIRA LIMA;5310430;23205;BA=PMDB;94931;LUCIO VIEIRA LIMA
LUIS CARLOS HEINZE;5310770;23500;RS=PP;73483;LUIS CARLOS HEINZE
LUIS TIBÉ;5310737;23251;MG=PTdoB;160510;LUIS TIBÉ
LUIZ CARLOS BUSATO;5310598;23488;RS=PTB;141485;LUIZ CARLOS BUSATO
LUIZ CARLOS HAULY;5310316;23454;PR=PSDB;73778;LUIZ CARLOS HAULY
LUIZ CARLOS RAMOS;5310522;23318;RJ=PTN;178802;LUIZ CARLOS RAMOS
LUIZ CLÁUDIO;5310435;2348;RO=PR;178955;LUIZ CLÁUDIO
LUIZ COUTO;5310317;23133;PB=PT;74041;LUIZ COUTO
LUIZ FERNANDO FARIA;5310610;23256;MG=PP;141487;LUIZ FERNANDO FARIA
LUIZ LAURO FILHO;5310696;23365;SP=PSB;178982;LUIZ LAURO FILHO
LUIZ NISHIMORI;5310410;23459;PR=PR;162332;LUIZ NISHIMORI
LUIZ SÉRGIO;5310521;23313;RJ=PT;74688;LUIZ SÉRGIO
LUIZA ERUNDINA;5310288;23371;SP=PSOL;74784;LUIZA ERUNDINA
LUIZIANNE LINS;5310427;2398;CE=PT;178866;LUIZIANNE LINS
MACEDO;5310605;23104;CE=PP;178867;MACEDO
MAGDA MOFATTO;5310735;23431;GO=PR;166402;MAGDA MOFATTO
MAJOR OLIMPIO;5310405;23368;SP=SD;178826;MAJOR OLIMPIO
MANDETTA;5310643;23436;MS=DEM;160633;MANDETTA
MANOEL JUNIOR;5310509;23130;PB=PMDB;141490;MANOEL JUNIOR
MARA GABRILLI;5310398;23366;SP=PSDB;160565;MARA GABRILLI
MARCELO ÁLVARO ANTÔNIO;5310404;23235;MG=PR;179000;MARCELO ÁLVARO ANTÔNIO
MARCELO ARO;5310596;23236;MG=PHS;146788;MARCELO ARO
MARCELO BELINATI;5310581;23461;PR=PP;178932;MARCELO BELINATI
MARCELO CASTRO;5310659;23110;PI=PMDB;74460;MARCELO CASTRO
MARCELO MATOS;5310762;23311;RJ=PHS;76287;MARCELO MATOS
MARCELO SQUASSONI;5310594;23369;SP=PRB;118594;MARCELO SQUASSONI
MARCIO ALVINO;5310720;23370;SP=PR;178983;MARCIO ALVINO
MÁRCIO MARINHO;5310454;23212;BA=PRB;150418;MÁRCIO MARINHO
MARCO ANTÔNIO CABRAL;5310700;23319;RJ=PMDB;178942;MARCO ANTÔNIO CABRAL
MARCO MAIA;5310634;23496;RS=PT;133373;MARCO MAIA
MARCO TEBALDI;5310440;23478;SC=PSDB;160536;MARCO TEBALDI
MARCON;5310794;23507;RS=PT;160535;MARCON
MARCOS ABRÃO;5310445;23432;GO=PPS;178880;MARCOS ABRÃO
MARCOS MONTES;5310537;23257;MG=PSD;141500;MARCOS MONTES
MARCOS REATEGUI;5310524;2312;AP=PSD;178852;MARCOS REATEGUI
MARCOS ROGÉRIO;5310471;2349;RO=DEM;167722;MARCOS ROGÉRIO
MARCOS ROTTA;5310431;2343;AM=PMDB;178850;MARCOS ROTTA
MARCOS SOARES;5310328;23321;RJ=DEM;178943;MARCOS SOARES
MARCUS PESTANA;5310743;23254;MG=PSDB;159238;MARCUS PESTANA
MARCUS VICENTE;5310562;23281;ES=PP;74235;MARCUS VICENTE
MARGARIDA SALOMÃO;5310442;23237;MG=PT;171619;MARGARIDA SALOMÃO
